n_focals,k_add,cond,xeu,n_p,n_a,n_t,n_fod,n_focals2,belg_size,belg_time,proper_belg,dt_ok,dt_size,dt_time,dt_max_lg,ct_ok,ct_size,ct_time,ct_max_lg,tt_ok,tt_size,tt_time,tt_max_lg
5,2,dempster,TBEU,3,2;3;3,3,7,5,1458,0.000693,True,None,1566,0.020994,5,None,1890,0.018298,5,None,378,0.003335,3,
5,2,dempster,TBEU,3,3;3;3,2,5,5,648,0.000431,True,None,5427,0.061217,6,None,1377,0.012736,4,None,405,0.002851,3,
5,2,dempster,TBEU,3,3;3;3,2,7,5,648,0.000444,True,None,6561,0.071858,6,None,2754,0.025573,5,None,567,0.004004,3,
5,2,dempster,TBEU,3,3;3;3,3,9,5,2187,0.000698,True,None,3159,0.038122,5,None,3807,0.034596,5,None,729,0.005085,3,
5,2,dempster,TBEU,3,3;3;3,3,8,5,2187,0.000678,True,None,8343,0.087155,6,None,4617,0.041276,5,None,648,0.004185,3,
5,3,dempster,TBEU,2,2;2,2,4,4,32,0.000437,True,None,176,0.002368,4,None,128,0.001415,3,None,32,0.000376,2,
5,3,dempster,TBEU,2,2;2,2,4,3,32,0.000369,True,None,152,0.001835,4,None,80,0.000932,3,None,32,0.000350,2,
5,3,dempster,TBEU,2,2;2,3,8,5,72,0.000397,True,None,608,0.007252,5,None,200,0.002382,3,None,64,0.000800,2,
5,3,dempster,TBEU,2,2;2,3,7,5,72,0.000419,True,None,640,0.007335,6,None,192,0.002223,3,None,56,0.000691,2,
5,3,dempster,TBEU,2,3;2,2,4,5,48,0.000324,True,None,498,0.005142,4,None,174,0.001749,3,None,48,0.000457,2,
5,3,dempster,TBEU,2,3;2,2,4,4,48,0.000324,True,None,360,0.004023,4,None,228,0.002171,3,None,48,0.000444,2,
5,3,dempster,TBEU,2,3;2,3,7,5,108,0.000385,True,None,1548,0.017039,5,None,354,0.003331,3,None,84,0.000891,2,
5,3,dempster,TBEU,2,3;2,3,8,5,108,0.000429,True,None,2088,0.022746,6,None,258,0.002455,3,None,96,0.000895,2,
5,3,dempster,TBEU,2,2;3,2,4,4,48,0.000369,True,None,468,0.004944,4,None,228,0.002165,3,None,48,0.000435,2,
5,3,dempster,TBEU,2,2;3,2,4,4,48,0.000328,True,None,378,0.004303,4,None,228,0.002149,3,None,48,0.000435,2,
5,3,dempster,TBEU,2,2;3,3,9,5,108,0.000380,True,None,612,0.006649,4,None,390,0.003525,3,None,108,0.000997,2,
5,3,dempster,TBEU,2,2;3,3,8,5,108,0.000385,True,None,1068,0.011457,5,None,414,0.003924,4,None,96,0.000907,2,
5,3,dempster,TBEU,2,3;3,2,4,5,72,0.000307,True,None,765,0.007295,4,None,315,0.002673,3,None,72,0.000544,2,
5,3,dempster,TBEU,2,3;3,2,4,5,72,0.000314,True,None,891,0.009865,4,None,396,0.003534,3,None,72,0.000638,2,
5,3,dempster,TBEU,2,3;3,3,9,5,162,0.000456,True,None,4050,0.044097,5,None,648,0.005181,3,None,162,0.001231,2,
5,3,dempster,TBEU,2,3;3,3,6,4,162,0.000500,True,None,1944,0.019428,5,None,432,0.003450,3,None,108,0.000821,2,
5,3,dempster,TBEU,3,2;2;2,2,7,4,192,0.000422,True,None,1312,0.018073,6,None,1384,0.014768,5,None,168,0.001691,3,
5,3,dempster,TBEU,3,2;2;2,2,7,5,192,0.000517,True,None,704,0.010415,5,None,1064,0.011705,5,None,168,0.001656,3,
5,3,dempster,TBEU,3,2;2;2,3,11,5,648,0.000708,True,None,2720,0.037872,7,None,1456,0.016330,6,None,264,0.002564,3,
5,3,dempster,TBEU,3,2;2;2,3,10,5,648,0.000761,True,None,2720,0.040417,7,None,1552,0.016642,5,None,240,0.002358,3,
5,3,dempster,TBEU,3,3;2;2,2,8,5,288,0.000500,True,None,2424,0.034126,6,None,2616,0.027383,5,None,288,0.002771,3,
