n_focals,k_add,cond,xeu,n_p,n_a,n_t,n_fod,n_focals2,belg_size,belg_time,proper_belg,dt_ok,dt_size,dt_time,dt_max_lg,ct_ok,ct_size,ct_time,ct_max_lg,tt_ok,tt_size,tt_time,tt_max_lg
5,10,dempster,TBEU,3,2;3;2,2,8,5,288,0.000613,True,None,4320,0.107853,6,None,5736,0.079177,5,None,288,0.002606,3,
5,10,dempster,TBEU,3,2;3;2,2,8,5,288,0.000615,True,None,4320,0.111159,6,None,7236,0.099266,5,None,288,0.002586,3,
5,10,dempster,TBEU,3,2;3;2,3,27,5,972,0.000965,True,None,58176,1.747369,9,None,29844,0.501242,7,None,972,0.009529,3,
5,10,dempster,TBEU,3,2;3;2,3,24,5,972,0.001000,True,None,77760,2.307708,9,None,33036,0.510294,7,None,864,0.008399,3,
5,10,dempster,TBEU,3,3;3;2,2,8,5,432,0.000648,True,None,9720,0.229182,6,None,13284,0.163169,5,None,432,0.003439,3,
5,10,dempster,TBEU,3,3;3;2,2,8,5,432,0.000618,True,None,9720,0.221378,6,None,14256,0.178491,5,None,432,0.003184,3,
5,10,dempster,TBEU,3,3;3;2,3,24,5,1458,0.000929,True,None,225504,6.196184,9,None,58482,0.831368,7,None,1296,0.010292,3,
5,10,dempster,TBEU,3,3;3;2,3,23,5,1458,0.001046,True,None,233280,6.559614,9,None,86346,1.318137,7,None,1242,0.009901,3,
5,10,dempster,TBEU,3,2;2;3,2,8,5,288,0.000706,True,None,4320,0.112634,6,None,7128,0.096413,5,None,288,0.002742,3,
5,10,dempster,TBEU,3,2;2;3,2,8,5,288,0.000593,True,None,4320,0.105597,6,None,6240,0.081507,5,None,288,0.002497,3,
5,10,dempster,TBEU,3,2;2;3,3,25,5,972,0.000965,True,None,55584,1.628445,9,None,31752,0.465438,7,None,900,0.008717,3,
5,10,dempster,TBEU,3,2;2;3,3,22,5,972,0.001002,True,None,69120,2.043695,9,None,33336,0.522909,7,None,792,0.007692,3,
5,10,dempster,TBEU,3,3;2;3,2,8,5,432,0.000697,True,None,9720,0.221752,6,None,10620,0.135909,5,None,432,0.003394,3,
5,10,dempster,TBEU,3,3;2;3,2,8,5,432,0.000630,True,None,9720,0.238226,6,None,13950,0.178005,5,None,432,0.003235,3,
5,10,dempster,TBEU,3,3;2;3,3,24,5,1458,0.000916,True,None,225504,6.771582,9,None,76554,1.323187,7,None,1296,0.010365,3,
5,10,dempster,TBEU,3,3;2;3,3,24,5,1458,0.001039,True,None,225504,6.456473,9,None,79056,1.258223,7,None,1296,0.010334,3,
5,10,dempster,TBEU,3,2;3;3,2,8,5,432,0.000734,True,None,9720,0.234738,6,None,12042,0.152887,5,None,432,0.003235,3,
5,10,dempster,TBEU,3,2;3;3,2,8,5,432,0.000597,True,None,9720,0.226163,6,None,12924,0.164254,5,None,432,0.003410,3,
5,10,dempster,TBEU,3,2;3;3,3,21,5,1458,0.001014,True,None,262440,7.368562,9,None,66204,1.058093,7,None,1134,0.008901,3,
5,10,dempster,TBEU,3,2;3;3,3,22,5,1458,0.001123,True,None,262440,7.058185,9,None,57654,0.870193,7,None,1188,0.009622,3,
5,10,dempster,TBEU,3,3;3;3,2,8,5,648,0.000746,True,None,21870,0.545787,6,None,26892,0.354624,5,None,648,0.004449,3,
5,10,dempster,TBEU,3,3;3;3,2,8,4,648,0.000671,True,None,17496,0.440892,6,None,16281,0.225637,5,None,648,0.004262,3,
5,10,dempster,TBEU,3,3;3;3,3,23,5,2187,0.000928,True,None,761076,21.795949,9,None,125955,2.104646,7,None,1863,0.014086,3,
5,10,dempster,TBEU,3,3;3;3,3,25,5,2187,0.001079,True,None,761076,23.227293,9,None,187596,3.125636,7,None,2025,0.014773,3,
6,2,dempster,TBEU,2,2;2,2,4,4,32,0.000515,True,None,136,0.001428,4,None,104,0.001126,3,None,32,0.000415,2,
6,2,dempster,TBEU,2,2;2,2,4,6,32,0.000373,True,None,152,0.001666,4,None,104,0.001192,3,None,32,0.000377,2,
6,2,dempster,TBEU,2,2;2,3,8,5,72,0.000526,True,None,240,0.002417,4,None,112,0.001247,3,None,64,0.000725,2,
6,2,dempster,TBEU,2,2;2,3,6,5,72,0.000412,True,None,240,0.002429,4,None,96,0.001121,3,None,48,0.000544,2,
6,2,dempster,TBEU,2,3;2,2,4,4,48,0.000355,True,None,246,0.002343,4,None,138,0.001266,3,None,48,0.000415,2,
6,2,dempster,TBEU,2,3;2,2,4,6,48,0.000329,True,None,402,0.003671,4,None,138,0.001405,3,None,48,0.000458,2,
6,2,dempster,TBEU,2,3;2,3,7,6,108,0.000397,True,None,444,0.004170,4,None,228,0.002059,3,None,84,0.000823,2,
6,2,dempster,TBEU,2,3;2,3,7,6,108,0.000398,True,None,552,0.004979,4,None,192,0.001771,3,None,84,0.000799,2,
6,2,dempster,TBEU,2,2;3,2,4,5,48,0.000343,True,None,282,0.002701,4,None,174,0.001627,3,None,48,0.000430,2,
6,2,dempster,TBEU,2,2;3,2,4,4,48,0.000353,True,None,288,0.002728,4,None,192,0.001734,3,None,48,0.000422,2,
6,2,dempster,TBEU,2,2;3,3,9,6,108,0.000459,True,None,576,0.005222,4,None,252,0.002217,3,None,108,0.001024,2,
6,2,dempster,TBEU,2,2;3,3,6,6,108,0.000394,True,None,402,0.003621,4,None,162,0.001523,3,None,72,0.000661,2,
6,2,dempster,TBEU,2,3;3,2,4,5,72,0.000342,True,None,828,0.007553,4,None,234,0.002059,3,None,72,0.000572,2,
6,2,dempster,TBEU,2,3;3,2,4,5,72,0.000476,True,None,522,0.004627,4,None,234,0.001986,3,None,72,0.000538,2,
6,2,dempster,TBEU,2,3;3,3,7,5,162,0.000426,True,None,891,0.008122,4,None,369,0.003019,3,None,126,0.000937,2,
6,2,dempster,TBEU,2,3;3,3,9,6,162,0.000450,True,None,972,0.008671,4,None,486,0.003844,3,None,162,0.001267,2,
6,2,dempster,TBEU,3,2;2;2,2,6,5,192,0.000455,True,None,1152,0.012566,6,None,528,0.005578,5,None,144,0.001387,3,
6,2,dempster,TBEU,3,2;2;2,2,4,5,192,0.000487,False,None,432,0.004891,5,None,480,0.004925,5,None,96,0.000860,3,
6,2,dempster,TBEU,3,2;2;2,3,10,6,648,0.000697,True,None,1088,0.015801,6,None,944,0.009917,5,None,240,0.002469,3,
6,2,dempster,TBEU,3,2;2;2,3,9,6,648,0.000784,True,None,952,0.012112,6,None,760,0.007991,5,None,216,0.002481,3,
6,2,dempster,TBEU,3,3;2;2,2,8,6,288,0.000466,True,None,2412,0.026027,6,None,936,0.008683,5,None,288,0.002452,3,
6,2,dempster,TBEU,3,3;2;2,2,7,6,288,0.000450,True,None,1692,0.018142,6,None,1044,0.009960,5,None,252,0.002122,3,
6,2,dempster,TBEU,3,3;2;2,3,7,6,972,0.000725,True,None,3084,0.035422,6,None,708,0.007897,5,None,252,0.002033,3,
6,2,dempster,TBEU,3,3;2;2,3,9,6,972,0.000808,True,None,4176,0.044365,6,None,1044,0.009810,5,None,324,0.002711,3,
6,2,dempster,TBEU,3,2;3;2,2,7,5,288,0.000460,True,None,1920,0.025429,6,None,1308,0.013463,5,None,252,0.002248,3,
6,2,dempster,TBEU,3,2;3;2,2,7,6,288,0.000530,True,None,2904,0.033185,6,None,1428,0.013720,5,None,252,0.002195,3,
6,2,dempster,TBEU,3,2;3;2,3,11,6,972,0.000781,True,None,1200,0.014350,5,None,1596,0.015689,5,None,396,0.003284,3,
6,2,dempster,TBEU,3,2;3;2,3,11,6,972,0.000716,True,None,2448,0.028965,6,None,1116,0.011185,5,None,396,0.003352,3,
6,2,dempster,TBEU,3,3;3;2,2,8,6,432,0.000467,True,None,1224,0.013695,5,None,1548,0.013632,5,None,432,0.003074,3,
6,2,dempster,TBEU,3,3;3;2,2,6,6,432,0.000444,True,None,1224,0.014028,5,None,1440,0.013065,5,None,324,0.002303,3,
6,2,dempster,TBEU,3,3;3;2,3,11,6,1458,0.000719,True,None,7722,0.085567,6,None,2484,0.022081,5,None,594,0.004277,3,
6,2,dempster,TBEU,3,3;3;2,3,9,6,1458,0.000742,True,None,4428,0.047189,6,None,2916,0.027297,5,None,486,0.003623,3,
6,2,dempster,TBEU,3,2;2;3,2,7,6,288,0.000511,True,None,1032,0.012797,5,None,1212,0.011544,5,None,252,0.002112,3,
6,2,dempster,TBEU,3,2;2;3,2,6,5,288,0.000481,True,None,1260,0.013789,5,None,1440,0.013459,5,None,216,0.001698,3,
6,2,dempster,TBEU,3,2;2;3,3,11,6,972,0.000722,True,None,2184,0.024086,6,None,1716,0.018712,5,None,396,0.003402,3,
6,2,dempster,TBEU,3,2;2;3,3,9,6,972,0.000735,True,None,1416,0.016993,5,None,1740,0.016696,5,None,324,0.002647,3,
6,2,dempster,TBEU,3,3;2;3,2,5,5,432,0.000479,True,None,1080,0.011666,5,None,1242,0.011234,5,None,270,0.001815,3,
6,2,dempster,TBEU,3,3;2;3,2,6,6,432,0.000482,True,None,2466,0.026702,5,None,2790,0.027842,5,None,324,0.002446,3,
6,2,dempster,TBEU,3,3;2;3,3,9,6,1458,0.000760,True,None,5256,0.055001,6,None,1854,0.017090,5,None,486,0.003512,3,
6,2,dempster,TBEU,3,3;2;3,3,10,6,1458,0.000724,True,None,5922,0.069239,6,None,2574,0.024537,5,None,540,0.004427,3,
6,2,dempster,TBEU,3,2;3;3,2,5,6,432,0.000467,True,None,3870,0.042554,6,None,2196,0.020456,5,None,270,0.001944,3,
6,2,dempster,TBEU,3,2;3;3,2,6,5,432,0.000479,True,None,3456,0.038751,6,None,1836,0.017270,5,None,324,0.002287,3,
6,2,dempster,TBEU,3,2;3;3,3,10,6,1458,0.000801,True,None,4068,0.043401,6,None,2664,0.027386,5,None,540,0.004500,3,
6,2,dempster,TBEU,3,2;3;3,3,10,6,1458,0.000744,True,None,7992,0.085166,6,None,2700,0.027118,5,None,540,0.004134,3,
6,2,dempster,TBEU,3,3;3;3,2,7,5,648,0.000494,True,None,8343,0.088435,6,None,4536,0.041712,5,None,567,0.003675,3,
6,2,dempster,TBEU,3,3;3;3,2,5,5,648,0.000468,True,None,8100,0.087358,6,None,4050,0.037224,5,None,405,0.002606,3,
6,2,dempster,TBEU,3,3;3;3,3,11,6,2187,0.000750,True,None,8667,0.093849,6,None,5184,0.046172,5,None,891,0.005801,3,
6,2,dempster,TBEU,3,3;3;3,3,10,6,2187,0.000760,False,None,8424,0.090875,6,None,4779,0.042856,5,None,810,0.005348,3,
6,3,dempster,TBEU,2,2;2,2,4,4,32,0.000458,True,None,216,0.002431,4,None,104,0.001181,3,None,32,0.000372,2,
6,3,dempster,TBEU,2,2;2,2,4,5,32,0.000365,True,None,240,0.002581,4,None,128,0.001989,3,None,32,0.000434,2,
6,3,dempster,TBEU,2,2;2,3,8,6,72,0.000658,True,None,480,0.005833,5,None,248,0.002714,3,None,64,0.000834,2,
6,3,dempster,TBEU,2,2;2,3,7,6,72,0.000492,True,None,440,0.005317,5,None,200,0.002197,3,None,56,0.000693,2,
6,3,dempster,TBEU,2,3;2,2,4,3,48,0.000402,True,None,234,0.002668,4,None,192,0.001799,3,None,48,0.000416,2,
6,3,dempster,TBEU,2,3;2,2,4,5,48,0.000372,True,None,480,0.005105,4,None,216,0.002192,3,None,48,0.000737,2,
6,3,dempster,TBEU,2,3;2,3,9,6,108,0.000506,True,None,1980,0.022617,5,None,540,0.006057,4,None,108,0.001202,2,
6,3,dempster,TBEU,2,3;2,3,8,6,108,0.000518,True,None,3690,0.043393,6,None,294,0.002871,3,None,96,0.001051,2,
6,3,dempster,TBEU,2,2;3,2,4,4,48,0.000421,True,None,576,0.005953,4,None,174,0.001762,3,None,48,0.000487,2,
6,3,dempster,TBEU,2,2;3,2,4,6,48,0.000369,True,None,684,0.007777,4,None,228,0.002329,3,None,48,0.000494,2,
6,3,dempster,TBEU,2,2;3,3,9,6,108,0.000442,True,None,1320,0.016863,5,None,456,0.004520,4,None,108,0.001110,2,
6,3,dempster,TBEU,2,2;3,3,7,6,108,0.000510,True,None,912,0.010020,5,None,300,0.002973,3,None,84,0.000877,2,
6,3,dempster,TBEU,2,3;3,2,4,5,72,0.000438,True,None,828,0.008529,4,None,234,0.002044,3,None,72,0.000556,2,
6,3,dempster,TBEU,2,3;3,2,4,6,72,0.000405,True,None,1458,0.014391,4,None,396,0.003452,3,None,72,0.000598,2,
6,3,dempster,TBEU,2,3;3,3,7,6,162,0.000524,True,None,6885,0.075251,6,None,675,0.005838,3,None,126,0.001256,2,
6,3,dempster,TBEU,2,3;3,3,8,6,162,0.000651,True,None,1944,0.020438,4,None,873,0.010929,4,None,144,0.001143,2,
6,3,dempster,TBEU,3,2;2;2,2,8,6,192,0.000503,True,None,1408,0.019763,6,None,1472,0.015809,5,None,192,0.001969,3,
6,3,dempster,TBEU,3,2;2;2,2,7,6,192,0.000499,True,None,1216,0.018048,6,None,1160,0.013626,5,None,168,0.001802,3,
6,3,dempster,TBEU,3,2;2;2,3,11,6,648,0.000808,True,None,1856,0.024128,6,None,1360,0.016192,6,None,264,0.002888,3,
6,3,dempster,TBEU,3,2;2;2,3,14,6,648,0.000767,True,None,3616,0.050201,7,None,2008,0.023746,6,None,336,0.003482,3,
6,3,dempster,TBEU,3,3;2;2,2,8,6,288,0.000531,True,None,3168,0.041959,6,None,2964,0.032485,5,None,288,0.002859,3,
6,3,dempster,TBEU,3,3;2;2,2,8,6,288,0.000526,True,None,3672,0.048912,6,None,2616,0.027007,5,None,288,0.002433,3,
6,3,dempster,TBEU,3,3;2;2,3,13,6,972,0.000804,True,None,8232,0.111199,7,None,5460,0.065108,7,None,468,0.003964,3,
6,3,dempster,TBEU,3,3;2;2,3,15,6,972,0.000813,True,None,23568,0.318208,9,None,2976,0.027879,5,None,540,0.004534,3,
6,3,dempster,TBEU,3,2;3;2,2,7,6,288,0.000532,True,None,3072,0.042087,6,None,2580,0.025261,5,None,252,0.002129,3,
6,3,dempster,TBEU,3,2;3;2,2,5,5,288,0.000476,True,None,1320,0.018668,5,None,1800,0.024432,5,None,180,0.001804,3,
6,3,dempster,TBEU,3,2;3;2,3,15,6,972,0.000827,True,None,15840,0.215286,8,None,2712,0.025461,5,None,540,0.004584,3,
6,3,dempster,TBEU,3,2;3;2,3,10,6,972,0.000843,True,None,13968,0.184948,8,None,2556,0.024328,5,None,360,0.003070,3,
6,3,dempster,TBEU,3,3;3;2,2,8,6,432,0.000494,True,None,7668,0.105195,6,None,5670,0.055172,5,None,432,0.003203,3,
6,3,dempster,TBEU,3,3;3;2,2,7,5,432,0.000524,True,None,6264,0.079174,6,None,2916,0.027006,5,None,378,0.002891,3,
6,3,dempster,TBEU,3,3;3;2,3,13,6,1458,0.000871,True,None,32454,0.441364,8,None,6786,0.066460,5,None,702,0.005177,3,
6,3,dempster,TBEU,3,3;3;2,3,14,6,1458,0.000787,True,None,58320,0.769351,8,None,7326,0.071202,6,None,756,0.005611,3,
6,3,dempster,TBEU,3,2;2;3,2,8,6,288,0.000495,True,None,3432,0.047629,6,None,3936,0.040271,5,None,288,0.002538,3,
6,3,dempster,TBEU,3,2;2;3,2,7,6,288,0.000467,True,None,3408,0.047588,6,None,2328,0.023349,5,None,252,0.002110,3,
6,3,dempster,TBEU,3,2;2;3,3,14,6,972,0.000839,True,None,12816,0.174300,8,None,4056,0.047106,6,None,504,0.004407,3,
6,3,dempster,TBEU,3,2;2;3,3,13,6,972,0.000773,True,None,12264,0.166403,8,None,3828,0.040866,6,None,468,0.003970,3,
6,3,dempster,TBEU,3,3;2;3,2,7,6,432,0.000499,True,None,5994,0.076738,6,None,3384,0.033050,5,None,378,0.002816,3,
6,3,dempster,TBEU,3,3;2;3,2,8,6,432,0.000511,True,None,8460,0.112539,6,None,6066,0.058748,5,None,432,0.003251,3,
6,3,dempster,TBEU,3,3;2;3,3,12,6,1458,0.000982,True,None,43308,0.575150,8,None,5220,0.048869,5,None,648,0.004879,3,
6,3,dempster,TBEU,3,3;2;3,3,12,6,1458,0.000771,True,None,21060,0.286580,7,None,6786,0.069173,6,None,648,0.004885,3,
6,3,dempster,TBEU,3,2;3;3,2,7,5,432,0.000544,True,None,4374,0.062692,6,None,4446,0.047630,5,None,378,0.003123,3,
6,3,dempster,TBEU,3,2;3;3,2,8,6,432,0.000504,True,None,8136,0.099648,6,None,2250,0.020846,5,None,432,0.003193,3,
6,3,dempster,TBEU,3,2;3;3,3,13,6,1458,0.000896,True,None,39366,0.516555,8,None,4950,0.049461,5,None,702,0.005229,3,
6,3,dempster,TBEU,3,2;3;3,3,16,6,1458,0.000873,True,None,11016,0.152197,6,None,11106,0.121330,6,None,864,0.006444,3,
6,3,dempster,TBEU,3,3;3;3,2,8,6,648,0.000487,True,None,10935,0.142499,6,None,8019,0.072381,5,None,648,0.004324,3,
6,3,dempster,TBEU,3,3;3;3,2,6,5,648,0.000523,True,None,9234,0.124663,6,None,8100,0.085330,5,None,486,0.003233,3,
6,3,dempster,TBEU,3,3;3;3,3,14,6,2187,0.000861,True,None,96228,1.258381,8,None,11745,0.106576,5,None,1134,0.007642,3,
6,3,dempster,TBEU,3,3;3;3,3,11,6,2187,0.000889,True,None,37179,0.508381,7,None,17253,0.188444,6,None,891,0.005959,3,
6,4,dempster,TBEU,2,2;2,2,4,3,32,0.000504,True,None,152,0.001869,4,None,120,0.001316,3,None,32,0.000412,2,
6,4,dempster,TBEU,2,2;2,2,4,5,32,0.000381,True,None,240,0.003168,4,None,128,0.001538,3,None,32,0.000393,2,
6,4,dempster,TBEU,2,2;2,3,8,6,72,0.000496,True,None,1080,0.013776,6,None,312,0.003354,4,None,64,0.000812,2,
6,4,dempster,TBEU,2,2;2,3,9,6,72,0.000510,True,None,1632,0.021523,6,None,392,0.004308,4,None,72,0.000960,2,
6,4,dempster,TBEU,2,3;2,2,4,5,48,0.000386,True,None,522,0.006317,4,None,228,0.002227,3,None,48,0.000460,2,
6,4,dempster,TBEU,2,3;2,2,4,5,48,0.000385,True,None,630,0.007359,4,None,228,0.002201,3,None,48,0.000714,2,
6,4,dempster,TBEU,2,3;2,3,8,6,108,0.000485,True,None,2664,0.033964,6,None,480,0.004552,3,None,96,0.001031,2,
6,4,dempster,TBEU,2,3;2,3,9,6,108,0.000497,True,None,2664,0.036319,6,None,624,0.006246,4,None,108,0.001245,2,
6,4,dempster,TBEU,2,2;3,2,4,4,48,0.000451,True,None,486,0.005805,4,None,228,0.002579,3,None,48,0.000510,2,
6,4,dempster,TBEU,2,2;3,2,4,4,48,0.000556,True,None,486,0.007069,4,None,228,0.002320,3,None,48,0.000508,2,
6,4,dempster,TBEU,2,2;3,3,8,6,108,0.000506,True,None,3024,0.037559,6,None,456,0.004190,3,None,96,0.001031,2,
6,4,dempster,TBEU,2,2;3,3,9,6,108,0.000485,True,None,3780,0.048499,6,None,660,0.006914,4,None,108,0.001153,2,
6,4,dempster,TBEU,2,3;3,2,4,3,72,0.000457,True,None,729,0.008528,4,None,396,0.003337,3,None,72,0.000701,2,
6,4,dempster,TBEU,2,3;3,2,4,5,72,0.000442,True,None,1134,0.012508,4,None,396,0.003462,3,None,72,0.000581,2,
6,4,dempster,TBEU,2,3;3,3,8,6,162,0.000535,True,None,9558,0.114554,6,None,1035,0.009369,4,None,144,0.001234,2,
6,4,dempster,TBEU,2,3;3,3,9,6,162,0.000515,True,None,9558,0.121879,6,None,1458,0.013782,4,None,162,0.001373,2,
6,4,dempster,TBEU,3,2;2;2,2,8,6,192,0.000537,True,None,1856,0.027260,6,None,1512,0.017058,5,None,192,0.002068,3,
6,4,dempster,TBEU,3,2;2;2,2,7,5,192,0.000571,True,None,1472,0.024174,6,None,1872,0.020783,5,None,168,0.001742,3,
6,4,dempster,TBEU,3,2;2;2,3,18,6,648,0.000841,True,None,10880,0.181093,9,None,3144,0.034885,6,None,432,0.005110,3,
6,4,dempster,TBEU,3,2;2;2,3,17,6,648,0.000820,True,None,7168,0.113942,8,None,3480,0.039974,7,None,408,0.004520,3,
6,4,dempster,TBEU,3,3;2;2,2,8,5,288,0.000547,True,None,4320,0.066270,6,None,2976,0.034795,5,None,288,0.002515,3,
6,4,dempster,TBEU,3,3;2;2,2,8,6,288,0.000554,True,None,4560,0.075826,6,None,3852,0.043867,5,None,288,0.002607,3,
6,4,dempster,TBEU,3,3;2;2,3,16,6,972,0.000902,True,None,11952,0.202029,7,None,6828,0.076513,6,None,576,0.005106,3,
6,4,dempster,TBEU,3,3;2;2,3,16,6,972,0.000855,True,None,29760,0.465681,9,None,8772,0.101698,7,None,576,0.008993,3,
6,4,dempster,TBEU,3,2;3;2,2,8,6,288,0.000591,True,None,4560,0.078218,6,None,4248,0.048553,5,None,288,0.002551,3,
6,4,dempster,TBEU,3,2;3;2,2,7,6,288,0.000529,True,None,4056,0.061605,6,None,4008,0.044974,5,None,252,0.002213,3,
6,4,dempster,TBEU,3,2;3;2,3,15,6,972,0.000884,True,None,35712,0.578317,9,None,6540,0.072375,6,None,540,0.004703,3,
6,4,dempster,TBEU,3,2;3;2,3,16,6,972,0.000876,True,None,27936,0.442856,9,None,5748,0.061708,6,None,576,0.005033,3,
6,4,dempster,TBEU,3,3;3;2,2,8,6,432,0.000569,True,None,8856,0.131455,6,None,7236,0.072760,5,None,432,0.003292,3,
6,4,dempster,TBEU,3,3;3;2,2,8,6,432,0.000525,True,None,9936,0.156858,6,None,7866,0.084640,5,None,432,0.003203,3,
6,4,dempster,TBEU,3,3;3;2,3,19,6,1458,0.000868,True,None,115668,1.803381,9,None,12402,0.144389,6,None,1026,0.007868,3,
6,4,dempster,TBEU,3,3;3;2,3,15,6,1458,0.000852,True,None,90720,1.458494,9,None,16074,0.181290,6,None,810,0.006355,3,
6,4,dempster,TBEU,3,2;2;3,2,8,6,288,0.000554,True,None,4056,0.069727,6,None,4140,0.051532,5,None,288,0.002654,3,
6,4,dempster,TBEU,3,2;2;3,2,7,6,288,0.000552,True,None,4680,0.080189,6,None,4080,0.049028,5,None,252,0.002295,3,
6,4,dempster,TBEU,3,2;2;3,3,16,6,972,0.000847,True,None,53712,0.898129,9,None,5616,0.056670,5,None,576,0.005298,3,
6,4,dempster,TBEU,3,2;2;3,3,18,6,972,0.000870,True,None,12240,0.210943,7,None,9084,0.117027,6,None,648,0.006315,3,
6,4,dempster,TBEU,3,3;2;3,2,8,6,432,0.000577,True,None,9126,0.160258,6,None,8568,0.099383,5,None,432,0.003434,3,
6,4,dempster,TBEU,3,3;2;3,2,8,6,432,0.000556,True,None,11664,0.183786,6,None,9306,0.097612,5,None,432,0.004156,3,
6,4,dempster,TBEU,3,3;2;3,3,18,6,1458,0.003666,True,None,37962,0.630966,8,None,12654,0.140790,6,None,972,0.007492,3,
6,4,dempster,TBEU,3,3;2;3,3,18,6,1458,0.000840,True,None,66312,1.081740,8,None,11322,0.124079,6,None,972,0.007637,3,
6,4,dempster,TBEU,3,2;3;3,2,7,6,432,0.000556,True,None,7722,0.123710,6,None,5778,0.063231,5,None,378,0.002900,3,
6,4,dempster,TBEU,3,2;3;3,2,8,6,432,0.000561,True,None,11664,0.186156,6,None,9414,0.106439,5,None,432,0.003366,3,
6,4,dempster,TBEU,3,2;3;3,3,17,6,1458,0.000863,True,None,74520,1.217165,9,None,11034,0.116409,6,None,918,0.007163,3,
6,4,dempster,TBEU,3,2;3;3,3,16,6,1458,0.000902,True,None,31428,0.516195,7,None,12546,0.150471,6,None,864,0.006764,3,
6,4,dempster,TBEU,3,3;3;3,2,7,6,648,0.000562,True,None,19926,0.310428,6,None,14985,0.166420,5,None,567,0.003895,3,
6,4,dempster,TBEU,3,3;3;3,2,8,6,648,0.000558,True,None,19926,0.324659,6,None,14661,0.165253,5,None,648,0.004640,3,
6,4,dempster,TBEU,3,3;3;3,3,15,6,2187,0.000859,True,None,91854,1.489641,7,None,27297,0.308539,6,None,1215,0.008425,3,
6,4,dempster,TBEU,3,3;3;3,3,18,6,2187,0.000852,True,None,155277,2.344003,8,None,21546,0.252469,6,None,1458,0.010143,3,
6,5,dempster,TBEU,2,2;2,2,4,2,32,0.000558,True,None,128,0.001811,4,None,112,0.001271,3,None,32,0.000341,2,
6,5,dempster,TBEU,2,2;2,2,4,3,32,0.000430,True,None,192,0.002537,4,None,112,0.001347,3,None,32,0.000359,2,
6,5,dempster,TBEU,2,2;2,3,8,6,72,0.000510,True,None,1312,0.017665,6,None,328,0.003617,4,None,64,0.000852,2,
6,5,dempster,TBEU,2,2;2,3,9,6,72,0.000544,True,None,1856,0.025463,6,None,432,0.004713,4,None,72,0.000981,2,
6,5,dempster,TBEU,2,3;2,2,4,4,48,0.000440,True,None,576,0.007106,4,None,228,0.002223,3,None,48,0.000493,2,
6,5,dempster,TBEU,2,3;2,2,4,5,48,0.000520,True,None,720,0.008535,4,None,228,0.002250,3,None,48,0.000489,2,
6,5,dempster,TBEU,2,3;2,3,9,6,108,0.000512,True,None,4248,0.060144,6,None,822,0.008311,4,None,108,0.001165,2,
6,5,dempster,TBEU,2,3;2,3,9,6,108,0.000589,True,None,2628,0.041798,6,None,714,0.006818,4,None,108,0.001169,2,
6,5,dempster,TBEU,2,2;3,2,4,5,48,0.000535,True,None,720,0.008480,4,None,228,0.002263,3,None,48,0.000489,2,
6,5,dempster,TBEU,2,2;3,2,4,3,48,0.000484,True,None,432,0.005578,4,None,228,0.002199,3,None,48,0.000459,2,
6,5,dempster,TBEU,2,2;3,3,7,6,108,0.000519,True,None,4572,0.066199,6,None,636,0.006596,4,None,84,0.000927,2,
6,5,dempster,TBEU,2,2;3,3,8,5,108,0.000593,True,None,3096,0.044886,6,None,594,0.005782,4,None,96,0.000996,2,
6,5,dempster,TBEU,2,3;3,2,4,3,72,0.000510,True,None,972,0.012004,4,None,396,0.003321,3,None,72,0.000561,2,
6,5,dempster,TBEU,2,3;3,2,3,3,72,0.000466,True,None,729,0.007275,4,None,216,0.001922,3,None,54,0.000410,2,
6,5,dempster,TBEU,2,3;3,3,9,6,162,0.000562,True,None,13608,0.184218,6,None,1503,0.014323,4,None,162,0.001411,2,
6,5,dempster,TBEU,2,3;3,3,8,6,162,0.000535,True,None,5994,0.086627,6,None,774,0.006597,3,None,144,0.001213,2,
6,5,dempster,TBEU,3,2;2;2,2,8,6,192,0.000577,True,None,2304,0.044914,6,None,3080,0.036612,5,None,192,0.002161,3,
6,5,dempster,TBEU,3,2;2;2,2,8,6,192,0.000591,True,None,1856,0.037385,6,None,3168,0.039917,5,None,192,0.002107,3,
6,5,dempster,TBEU,3,2;2;2,3,21,6,648,0.000892,True,None,9984,0.194139,8,None,5040,0.058135,6,None,504,0.005949,3,
6,5,dempster,TBEU,3,2;2;2,3,18,6,648,0.000892,True,None,21376,0.410018,9,None,4616,0.054439,7,None,432,0.005063,3,
6,5,dempster,TBEU,3,3;2;2,2,8,5,288,0.000609,True,None,3312,0.057240,6,None,4836,0.054166,5,None,288,0.002524,3,
6,5,dempster,TBEU,3,3;2;2,2,8,6,288,0.000575,True,None,4560,0.082519,6,None,4440,0.051839,5,None,288,0.002662,3,
6,5,dempster,TBEU,3,3;2;2,3,21,6,972,0.000867,True,None,45072,0.827071,9,None,12168,0.157495,7,None,756,0.007390,3,
6,5,dempster,TBEU,3,3;2;2,3,18,6,972,0.000899,True,None,33120,0.635070,9,None,10020,0.124193,7,None,648,0.006022,3,
6,5,dempster,TBEU,3,2;3;2,2,8,6,288,0.000576,True,None,3552,0.060363,6,None,4152,0.051807,5,None,288,0.002641,3,
6,5,dempster,TBEU,3,2;3;2,2,8,6,288,0.000556,True,None,4056,0.067379,6,None,4776,0.053726,5,None,288,0.002574,3,
6,5,dempster,TBEU,3,2;3;2,3,18,6,972,0.000963,True,None,46656,0.909026,9,None,11856,0.140309,6,None,648,0.006090,3,
